init,Compacidad,Tolerancia,Disimilitud,Balance
random_dense,399.0,62.0,156.63209219858155,633.489643849656
random_dense,445.0,91.0,170.33244680851064,723.1510039422064
random_dense,406.0,82.0,164.3049645390071,849.5807554951966
random_dense,384.0,85.0,149.09485815602838,564.8181295898102
random_dense,431.0,94.0,167.90691489361703,817.696122397012
random_dense,415.0,74.0,166.01329787234042,804.2826245850304
random_dense,400.0,81.0,163.57535460992906,895.8365202643164
random_dense,344.0,74.0,134.68528368794327,444.6961664088828
random_dense,461.0,91.0,182.959219858156,996.5515284693936
random_dense,349.0,73.0,138.1790780141844,512.2799878024247
random_dense,340.0,67.0,136.77482269503545,555.6514228409056
random_dense,451.0,75.0,176.74113475177305,858.3478824002825
random_dense,446.0,84.0,170.57978723404256,720.2312226497661
random_dense,388.0,77.0,149.0363475177305,561.630771056537
random_dense,375.0,60.0,147.06382978723406,538.6342236306017
random_dense,384.0,67.0,149.6258865248227,546.4664220864146
random_dense,388.0,80.0,155.19769503546098,728.7100301481306
random_dense,483.0,105.0,185.92641843971631,977.9121389454756
random_dense,407.0,76.0,165.08599290780143,869.965122950305
random_dense,395.0,78.0,149.81648936170214,529.887423136412
random_dense,452.0,91.0,177.86170212765958,919.7751999396406
random_dense,344.0,60.0,133.40248226950354,432.5224051858552
random_dense,398.0,78.0,161.72163120567376,854.5324398923615
random_dense,331.0,64.0,132.21985815602838,488.558045369951
random_dense,438.0,81.0,170.8554964539007,752.4870974485692
random_dense,417.0,73.0,164.3785460992908,707.3451780280163
random_dense,398.0,80.0,158.7304964539007,760.2429706755184
random_dense,456.0,84.0,178.14982269503545,909.6043262096956
random_dense,371.0,72.0,141.26063829787233,500.7760393088882
random_dense,455.0,85.0,175.80230496453902,826.307547878629
random_dense,422.0,94.0,163.2331560283688,719.0245389756547
random_dense,418.0,85.0,165.8040780141844,745.4855507456866
random_dense,361.0,57.0,145.0744680851064,595.6221140787688
random_dense,413.0,91.0,163.44326241134752,754.3141567325604
random_dense,346.0,68.0,136.9281914893617,503.95672297042427
random_dense,460.0,94.0,176.2287234042553,814.3235721291671
random_dense,365.0,78.0,144.1799645390071,594.6298468072539
random_dense,339.0,70.0,134.27659574468086,482.2426437301941
random_dense,322.0,54.0,125.79343971631204,380.7755952605504
random_dense,398.0,70.0,160.90602836879432,770.5053537296916
random_dense,389.0,69.0,154.4122340425532,667.194424796288
random_dense,398.0,58.0,158.86170212765958,708.5269729892863
random_dense,478.0,95.0,182.62322695035465,892.2702761116161
random_dense,399.0,60.0,157.91578014184398,676.2615240367686
random_dense,341.0,46.0,135.38829787234042,462.1400049041798
random_dense,481.0,91.0,187.45390070921985,992.2230521603528
random_dense,317.0,63.0,124.1604609929078,385.2605997874856
random_dense,441.0,69.0,172.81560283687944,815.7106785372952
random_dense,414.0,81.0,161.1826241134752,682.9382796388503
random_dense,378.0,74.0,151.10638297872342,677.8787535838236
random_dense,460.0,96.0,179.1781914893617,921.4655882186512
random_dense,381.0,70.0,153.6923758865248,703.6066085395603
random_dense,385.0,69.0,151.48670212765958,630.1292557907051
random_dense,463.0,83.0,181.4698581560284,935.644481540166
random_dense,393.0,83.0,150.3031914893617,558.5144578995016
random_dense,354.0,61.0,137.77925531914894,466.2376193036076
random_dense,408.0,58.0,161.5,710.7393617021277
random_dense,359.0,71.0,143.29787234042553,610.9360947638459
random_dense,397.0,83.0,155.53014184397162,740.757956717468
random_dense,382.0,82.0,151.11968085106383,615.4972013165834
random_dense,440.0,99.0,169.9184397163121,754.5536316080666
random_dense,420.0,66.0,165.90425531914894,756.8135279915502
random_dense,371.0,80.0,140.87765957446808,491.4247491323374
random_dense,361.0,80.0,142.18173758865248,532.6256593921332
random_dense,422.0,76.0,163.65425531914894,692.2350705447417
random_dense,383.0,74.0,152.83421985815602,636.00531836301
random_dense,398.0,72.0,155.54609929078015,645.6982294653187
random_dense,409.0,73.0,159.73936170212767,661.9036988833559
random_dense,440.0,78.0,174.76152482269504,896.7170657600226
random_dense,418.0,88.0,161.67730496453902,733.2859388360748
random_dense,409.0,80.0,167.48670212765958,930.2037238758098
random_dense,373.0,63.0,148.06826241134752,612.2568650658916
random_dense,408.0,68.0,162.53900709219857,738.9683366027866
random_dense,445.0,94.0,171.80939716312056,782.6578194947436
random_dense,320.0,67.0,126.25975177304964,390.99547227880896
random_dense,342.0,65.0,134.50265957446808,499.0194964727631
random_dense,391.0,77.0,153.24202127659575,600.8678441413911
random_dense,435.0,74.0,173.61436170212767,884.4000419684627
random_dense,383.0,61.0,151.82712765957447,612.6784484872493
random_dense,366.0,65.0,149.02393617021278,660.0109518824512
random_dense,423.0,72.0,166.56028368794327,784.0832453095936
random_dense,464.0,92.0,180.34929078014184,897.2964356672213
random_dense,426.0,82.0,170.08421985815602,881.084219072229
random_dense,355.0,61.0,145.10992907801418,601.9879155978062
random_dense,403.0,66.0,159.6586879432624,676.769144377798
random_dense,334.0,69.0,134.4627659574468,545.9028689452246
random_dense,403.0,69.0,163.51507092198582,841.5547374063174
random_dense,462.0,88.0,180.09485815602838,903.9369239160508
random_dense,463.0,99.0,180.34840425531917,923.462834333032
random_dense,346.0,57.0,138.36968085106383,529.9688325222564
random_dense,415.0,82.0,157.91578014184398,601.6906020509524
random_dense,456.0,92.0,179.58599290780143,962.813527205624
random_dense,334.0,60.0,129.48758865248226,412.4395622705091
random_dense,375.0,60.0,149.40070921985816,632.0770207736017
random_dense,368.0,78.0,143.33953900709218,508.8501387945784
random_dense,414.0,66.0,166.8918439716312,851.552132060763
random_dense,406.0,90.0,158.6684397163121,693.5992876364364
random_dense,356.0,71.0,136.94769503546098,480.859852843167
random_dense,328.0,63.0,127.09929078014184,394.0965243197024
random_dense,414.0,82.0,161.56028368794327,738.5548765152657
random_dense,369.0,62.0,146.2322695035461,572.9212281826873
random_dense,377.0,64.0,146.81648936170214,557.8891961860561
random_dense,427.0,97.0,164.1072695035461,719.5301599202761
random_dense,372.0,76.0,146.92021276595744,650.2702297419643
random_dense,447.0,94.0,174.38120567375887,887.8546822342931
random_dense,398.0,85.0,157.56826241134752,703.7169714488695
random_dense,403.0,87.0,157.39804964539007,639.1474075436349
random_dense,441.0,83.0,173.36258865248226,874.351685497461
random_dense,407.0,64.0,158.85283687943263,643.5705415975046
random_dense,406.0,78.0,158.19148936170214,669.9136864342854
random_dense,402.0,80.0,162.47251773049646,799.5311596184795
random_dense,372.0,70.0,149.76861702127658,638.4491214916249
random_dense,393.0,69.0,152.42641843971631,578.3137346901574
random_dense,377.0,62.0,152.23138297872342,683.5306817753127
random_dense,347.0,72.0,140.81294326241135,562.6396551669934
random_dense,432.0,75.0,168.92021276595744,794.5042722951563
random_dense,415.0,77.0,164.8927304964539,792.5000180763045
random_dense,412.0,85.0,159.79078014184398,684.4562270509513
random_dense,391.0,78.0,154.40514184397162,646.9058955472559
random_dense,393.0,74.0,159.44148936170214,797.6632431718722
random_dense,342.0,55.0,136.0904255319149,483.0308303153764
random_dense,429.0,85.0,166.79787234042553,745.565527387958
random_dense,454.0,88.0,174.0921985815603,811.9702228258119
random_dense,383.0,65.0,155.29698581560282,746.7566575813582
random_dense,436.0,84.0,169.45921985815602,776.6720958452787
random_dense,376.0,75.0,148.5921985815603,610.3301519038283
random_dense,337.0,62.0,134.53191489361703,500.5929530707701
random_dense,418.0,75.0,168.61524822695034,895.1108313213628
random_dense,445.0,82.0,177.06471631205673,891.8193933592382
random_dense,417.0,88.0,168.13918439716312,896.6676844411757
random_dense,385.0,71.0,149.81117021276594,580.1194851554249
random_dense,479.0,102.0,186.90070921985816,1027.068155525374
random_dense,411.0,77.0,162.8918439716312,758.4351107841666
random_dense,364.0,55.0,143.39361702127658,528.0684698958804
random_dense,427.0,86.0,164.7845744680851,706.5679535423269
random_dense,319.0,58.0,124.57801418439716,377.9921407373868
random_dense,380.0,79.0,151.30141843971631,683.9126930234899
random_dense,369.0,54.0,145.99734042553192,563.2083262599969
random_dense,389.0,85.0,153.40602836879432,605.8422331623157
random_dense,378.0,81.0,147.02216312056737,600.0323102145248
random_dense,467.0,94.0,181.89007092198585,931.4276319098624
random_dense,350.0,64.0,134.9122340425532,438.120843236004
random_dense,376.0,69.0,147.81648936170214,575.2278486683259
random_dense,355.0,76.0,139.47163120567376,513.3520320909408
random_dense,412.0,77.0,161.86347517730496,714.1480276394549
random_dense,365.0,73.0,143.37943262411346,535.9411372667361
random_dense,455.0,86.0,179.7828014184397,947.0051297407066
random_dense,376.0,56.0,150.1994680851064,636.6437231213216
random_dense,430.0,71.0,169.6409574468085,810.1113366719477
random_dense,436.0,89.0,171.2163120567376,862.8149112217679
random_dense,360.0,61.0,142.02659574468086,506.4851082692021
random_dense,441.0,78.0,172.80141843971631,830.9747497610783
random_dense,352.0,60.0,142.24734042553192,540.7890000188614
random_dense,371.0,76.0,146.75265957446808,562.5673688131888
random_dense,413.0,70.0,164.9663120567376,777.6974466827625
random_dense,438.0,93.0,168.5345744680851,768.5892301380724
random_dense,414.0,85.0,165.50797872340425,805.7605746378449
random_dense,426.0,80.0,168.24290780141845,817.80979012625
random_dense,416.0,81.0,167.34485815602838,852.2401154054121
random_dense,416.0,64.0,161.5381205673759,693.0552844109944
random_dense,340.0,55.0,133.76152482269504,443.5663565401642
random_dense,363.0,69.0,142.85195035460993,508.28747846562
random_dense,382.0,65.0,149.69858156028369,593.3524093355459
random_dense,399.0,67.0,156.3315602836879,630.5319117499114
random_dense,350.0,64.0,139.9671985815603,513.5725056272329
random_dense,436.0,86.0,171.83599290780143,826.7417186949862
random_dense,377.0,53.0,148.67730496453902,579.5448040843014
random_dense,394.0,81.0,153.9078014184397,628.9312157336137
random_dense,395.0,73.0,159.13652482269504,756.2260418238512
random_dense,430.0,74.0,170.44060283687944,846.3581741046737
random_dense,422.0,90.0,167.90514184397162,840.1567820720795
random_dense,455.0,99.0,176.0709219858156,861.3212112066815
random_dense,421.0,79.0,165.72783687943263,711.6768137606258
random_dense,425.0,84.0,167.36170212765958,807.152859514109
random_dense,442.0,87.0,172.75,901.8523936170212
random_dense,479.0,99.0,184.6418439716312,983.99583773452
random_dense,412.0,87.0,162.9122340425532,776.113751037422
random_dense,445.0,82.0,174.10638297872342,799.7049947185736
random_dense,432.0,90.0,168.729609929078,780.6689104861433
random_dense,444.0,74.0,173.49024822695034,814.1470680234899
random_dense,459.0,99.0,177.44326241134752,825.1616744630543
random_dense,259.0,40.0,103.2872340425532,304.1338086615364
random_dense,359.0,75.0,147.59840425531914,752.8732953259395
random_dense,424.0,72.0,171.32801418439718,897.2647471203671
random_dense,329.0,69.0,133.73936170212767,575.3540534932853
random_dense,297.0,35.0,123.04078014184395,495.8955001005989
random_dense,457.0,95.0,182.1586879432624,978.7079741650326
random_dense,276.0,41.0,111.84663120567376,368.3443858143455
random_dense,445.0,81.0,178.25177304964538,938.688383381116
random_dense,406.0,63.0,163.17375886524823,807.7499497007195
random_dense,319.0,65.0,124.1436170212766,375.52192734268885
random_dense,390.0,79.0,160.36081560283688,852.2980035901118
random_dense,347.0,46.0,141.97074468085106,632.6507398709826
random_dense,448.0,91.0,175.73847517730496,816.8527040578955
random_dense,425.0,94.0,164.98581560283688,668.5990895830195
random_dense,421.0,91.0,161.86524822695034,623.1910618178154
random_dense,270.0,39.0,108.02127659574468,335.9995473064737
random_dense,446.0,94.0,176.97517730496455,921.5348448267216
random_dense,356.0,54.0,138.36879432624113,476.0838489009606
random_dense,331.0,45.0,135.4281914893617,566.9310137505659
random_dense,319.0,46.0,130.84751773049646,559.0583094411744
random_dense,321.0,59.0,131.23138297872342,559.7877739738946
random_dense,311.0,69.0,122.75088652482268,383.3324460225842
random_dense,328.0,40.0,134.8581560283688,587.4586036919677
random_dense,311.0,56.0,129.32624113475177,554.1808007645479
random_dense,345.0,71.0,141.08599290780143,622.9048392623612
random_dense,422.0,84.0,169.54609929078015,895.3329812383688
random_dense,355.0,70.0,145.94414893617022,720.1342920061863
random_dense,406.0,76.0,165.13386524822695,893.2702006626934
random_dense,359.0,78.0,141.4113475177305,527.2031336451907
random_dense,432.0,83.0,170.69326241134752,837.5371177254672
random_dense,402.0,74.0,157.52304964539007,623.3186176500167
random_dense,388.0,63.0,154.13120567375887,643.5253382626631
random_dense,383.0,77.0,149.42021276595744,550.3127829334547
random_dense,289.0,59.0,114.16134751773048,321.9349598863232
random_dense,319.0,64.0,130.64361702127658,513.6141259242496
random_dense,368.0,82.0,143.9184397163121,512.6741989839546
random_dense,354.0,80.0,140.4086879432624,488.38882522886144
random_dense,391.0,87.0,155.98758865248226,618.3828246818593
random_dense,396.0,84.0,159.08599290780143,707.2133499006593
random_dense,280.0,56.0,112.63209219858156,351.12439562270424
random_dense,398.0,84.0,161.8590425531915,854.7700246152118
random_dense,387.0,60.0,154.3049645390071,672.0169257079623
random_dense,336.0,70.0,137.73670212765958,606.1177309680099
random_dense,347.0,69.0,140.50265957446808,576.0053120755985
random_dense,294.0,55.0,117.86258865248227,341.06179188043933
random_dense,398.0,65.0,158.8049645390071,700.2208264171828
random_dense,303.0,46.0,124.354609929078,495.2395000251501
random_dense,300.0,49.0,118.92641843971631,347.06994036391575
random_dense,416.0,77.0,164.59485815602838,761.9998671784618
random_dense,416.0,86.0,164.01063829787233,695.3261279613698
random_dense,390.0,73.0,154.63031914893617,628.4776977704846
random_dense,311.0,59.0,122.18439716312056,374.3915296011252
random_dense,391.0,73.0,152.08333333333334,559.2377364066205
random_dense,401.0,75.0,162.4663120567376,818.3357445551019
random_dense,458.0,100.0,181.9459219858156,940.194770603843
random_dense,309.0,50.0,126.9813829787234,536.7168519880788
random_dense,431.0,87.0,171.75797872340425,870.8341561981291
random_dense,365.0,75.0,142.96010638297872,509.318443960314
random_dense,416.0,92.0,164.31117021276594,739.3065418930128
random_dense,349.0,69.0,142.78102836879432,661.2898173821745
random_dense,405.0,72.0,161.3758865248227,711.5572908807399
random_dense,364.0,53.0,149.4131205673759,670.1130193400741
random_dense,348.0,65.0,142.77748226950354,664.6925071362101
random_dense,330.0,52.0,133.45301418439718,512.4907001345505
random_dense,314.0,61.0,125.65957446808513,437.1110608118306
random_dense,358.0,68.0,143.4840425531915,545.4713765655639
random_dense,403.0,79.0,163.18085106382978,840.8431794175351
random_dense,326.0,72.0,130.03900709219857,440.0410316382476
random_dense,330.0,50.0,136.0904255319149,597.8287026558022
random_dense,323.0,65.0,128.36170212765958,428.879809868719
random_dense,389.0,81.0,152.74734042553192,581.1143546287909
random_dense,311.0,60.0,127.35106382978724,532.3342009959266
random_dense,307.0,53.0,125.90248226950357,500.6323342638695
random_dense,389.0,81.0,155.11170212765958,695.7889410743925
random_dense,453.0,91.0,179.75797872340425,902.2632342123133
random_dense,397.0,83.0,156.22783687943263,627.4401116329659
random_dense,403.0,71.0,163.63031914893617,814.5681233023979
random_dense,357.0,68.0,145.1081560283688,591.1514228409037
random_dense,377.0,70.0,151.18882978723406,673.5255135242185
random_dense,401.0,87.0,157.64804964539007,667.4532586074646
random_dense,328.0,45.0,135.38120567375887,615.6880155676249
random_dense,386.0,86.0,154.58599290780143,685.0564350070421
random_dense,366.0,73.0,149.0212765957447,686.4782707107298
random_dense,391.0,83.0,158.05673758865248,771.4790503495793
random_dense,376.0,77.0,153.68882978723406,743.8136340915959
random_dense,375.0,63.0,150.17730496453902,619.1706906091239
random_dense,340.0,54.0,139.42641843971631,605.6523871724257
random_dense,346.0,58.0,142.63031914893617,699.4351445789944
random_dense,367.0,67.0,147.5212765957447,585.3807529802322
random_dense,393.0,86.0,152.9113475177305,579.7580981841961
random_dense,358.0,59.0,147.18528368794327,673.5339323663288
random_dense,330.0,66.0,135.74556737588654,646.7109732596456
random_dense,400.0,82.0,158.05585106382978,667.6662068998038
random_dense,376.0,84.0,151.72695035460993,683.819060912429
random_dense,424.0,84.0,169.57269503546098,788.4769849353665
random_dense,343.0,61.0,139.30851063829786,571.255885015845
random_dense,343.0,67.0,141.38652482269504,625.8576907600218
random_dense,332.0,64.0,136.6072695035461,609.1196989273682
random_dense,443.0,93.0,172.13918439716312,743.8024362142243
random_dense,357.0,77.0,144.68439716312056,603.2620969770145
random_dense,347.0,78.0,138.81294326241135,535.6467473655753
random_dense,367.0,70.0,149.4991134751773,636.829786448116
random_dense,411.0,68.0,167.34929078014184,843.7928895679311
random_dense,374.0,64.0,151.01507092198582,678.8694537183757
random_dense,436.0,85.0,172.625,810.8283466312057
random_dense,381.0,72.0,156.62056737588654,772.8560308837588
random_dense,331.0,46.0,131.75886524822695,483.282279563403
random_dense,352.0,68.0,139.99024822695034,487.42100419370274
random_dense,314.0,58.0,129.09929078014184,467.9227654544534
random_dense,371.0,73.0,151.20567375886526,811.0428046878924
random_dense,333.0,63.0,136.10638297872342,551.5276897540365
random_dense,371.0,65.0,151.69326241134752,741.5761248176645
random_dense,308.0,39.0,126.29166666666669,520.6764553782489
random_dense,422.0,84.0,166.23847517730496,731.694016114632
random_dense,410.0,74.0,163.33510638297872,747.518909385846
random_dense,299.0,63.0,120.86170212765956,393.4631432020524
random_dense,430.0,95.0,167.30939716312056,701.4725358068009
random_dense,354.0,56.0,143.99379432624113,608.7827629080529
random_dense,291.0,46.0,118.70035460992908,434.37475164730216
random_dense,326.0,50.0,129.96010638297872,437.3982311943568
random_dense,415.0,92.0,168.07890070921985,811.5425335433331
random_dense,372.0,51.0,152.26507092198582,732.843744498516
random_dense,401.0,84.0,161.57801418439718,780.1446230068912
random_dense,336.0,64.0,134.13031914893617,500.5069530896339
random_dense,313.0,50.0,128.11790780141845,466.4107431404354
random_dense,409.0,81.0,163.93173758865248,796.1611203850398
random_dense,386.0,85.0,152.6214539007092,626.917873063477
random_dense,343.0,66.0,138.34397163120568,541.0483501835915
random_dense,336.0,56.0,133.53191489361703,452.7631658367281
random_dense,330.0,68.0,130.20124113475177,457.5366296652583
random_dense,398.0,62.0,159.81382978723406,748.9121491625162
random_dense,336.0,55.0,135.13031914893617,539.9732651463706
random_dense,295.0,40.0,120.74556737588652,437.2836682951061
random_dense,355.0,61.0,145.79521276595744,709.2798706994105
random_dense,325.0,67.0,131.88209219858155,524.765353069513
random_dense,397.0,68.0,161.52836879432624,790.2243725164726
random_dense,367.0,80.0,148.09929078014184,638.8482973693472
random_dense,362.0,71.0,143.57890070921985,518.0664697135454
random_dense,403.0,92.0,158.94769503546098,671.4059521339477
random_dense,431.0,81.0,172.9671985815603,871.8083212300705
random_dense,292.0,54.0,118.20921985815605,413.8853050651376
random_dense,426.0,89.0,170.95567375886526,911.6611557517224
random_dense,406.0,85.0,161.4281914893617,717.9664747434732
random_dense,343.0,61.0,137.42109929078015,521.4831363802126
random_dense,359.0,71.0,149.39893617021278,757.4436868115289
random_dense,287.0,47.0,117.24024822695036,392.2694084490225
random_dense,354.0,74.0,144.21010638297872,655.6535503432923
random_dense,357.0,62.0,141.4787234042553,534.7672778029278
random_dense,355.0,61.0,143.26418439716312,584.7529016397566
random_dense,319.0,50.0,132.16755319148936,560.5029542968158
random_dense,442.0,91.0,174.91932624113474,898.1362222410847
random_dense,363.0,61.0,149.09397163120568,735.7110274885572
random_dense,307.0,42.0,125.25,473.6218971631206
random_dense,289.0,43.0,116.18528368794328,366.0002444230673
random_dense,309.0,46.0,125.65336879432624,457.3328609916505
random_dense,425.0,77.0,169.9671985815603,821.5795978258152
random_dense,401.0,78.0,157.97163120567376,659.8786278356223
random_dense,381.0,69.0,155.1968085106383,750.7094933604949
random_dense,296.0,66.0,117.96542553191487,385.2993365210506
random_dense,383.0,62.0,154.84308510638297,741.2457677870831
random_dense,434.0,94.0,169.30141843971631,746.3843242291637
random_dense,293.0,50.0,119.92996453900707,463.0970453888143
random_dense,354.0,56.0,144.79255319148936,667.8293062471703
random_dense,310.0,47.0,123.83067375886525,413.46689599994994
random_dense,411.0,84.0,164.85992907801418,830.9307347467419
random_dense,414.0,81.0,167.63918439716312,853.9327553631623
random_dense,354.0,57.0,141.8218085106383,552.6765811264527
random_dense,329.0,59.0,136.63918439716312,598.0480035901114
random_dense,300.0,57.0,122.2517730496454,451.6174613953019
random_dense,378.0,85.0,150.48758865248226,585.7658034052587
random_dense,428.0,77.0,171.48670212765958,894.6753550814853
random_dense,330.0,59.0,131.4822695035461,470.6894019415517
random_dense,357.0,64.0,145.68794326241135,682.1756702379164
random_dense,333.0,74.0,133.8758865248227,502.7363688949249
random_dense,304.0,49.0,123.17021276595744,461.1802474724611
random_dense,369.0,75.0,147.19326241134752,599.8349900658933
random_dense,389.0,71.0,156.11436170212767,694.2307157273269
random_dense,337.0,47.0,137.18528368794327,542.101308252854
random_dense,349.0,61.0,143.27482269503545,643.6656072380656
random_dense,343.0,78.0,136.58421985815602,483.9875878665557
random_dense,408.0,86.0,163.32801418439718,753.7931159146923
random_dense,318.0,40.0,130.42464539007094,522.552832321058
random_dense,337.0,71.0,135.36170212765958,560.1599517126906
random_dense,383.0,76.0,152.81382978723406,669.511439942659
random_dense,311.0,56.0,124.92996453900707,443.435697871084
random_dense,365.0,57.0,149.36436170212767,701.6730916138528
random_dense,276.0,50.0,111.10726950354608,328.0177485727573
random_dense,430.0,87.0,168.96897163120568,773.30843440345
random_dense,376.0,56.0,151.9991134751773,709.3005311289677
random_dense,374.0,58.0,151.26063829787233,659.2405783159816
random_dense,377.0,82.0,147.37765957446808,550.9637562245355
random_dense,330.0,40.0,134.38386524822695,535.2914772584377
random_dense,345.0,73.0,138.54255319148936,525.9325863890147
random_dense,394.0,73.0,156.97074468085106,748.8333639844573
random_dense,337.0,76.0,132.69060283687944,460.1746634663754
random_dense,306.0,54.0,123.770390070922,414.19107360671
random_dense,383.0,68.0,153.44858156028369,704.9228880589519
random_dense,277.0,45.0,111.67109929078016,355.8129236142554
random_dense,441.0,92.0,173.34929078014184,845.4666484331786
random_dense,401.0,77.0,161.10017730496455,760.20716308913
random_dense,323.0,65.0,128.4804964539007,479.82586074644047
random_dense,374.0,71.0,147.61790780141845,585.3708495234139
random_dense,366.0,67.0,148.23670212765958,674.4359933793581
random_dense,441.0,96.0,172.86524822695034,801.8399979880284
random_dense,380.0,62.0,156.0877659574468,797.4240347253658
random_dense,323.0,55.0,132.91046099290782,550.8687558158545
random_dense,415.0,73.0,165.39716312056737,801.5266586187813
random_dense,295.0,56.0,119.73581560283688,379.7493555404656
random_dense,365.0,74.0,144.2836879432624,551.9868970373718
random_dense,384.0,80.0,152.38297872340425,656.2043911272068
random_dense,449.0,95.0,175.48138297872342,840.9748307114841
random_dense,390.0,67.0,158.45921985815602,750.9274149942162
random_dense,377.0,74.0,149.30673758865248,642.3633588602182
random_dense,355.0,52.0,144.18085106382978,638.3999170061873
random_dense,283.0,53.0,116.10283687943264,431.273112519491
random_dense,330.0,59.0,129.0434397163121,426.9883612179972
random_dense,395.0,74.0,156.9255319148936,673.9554474121012
random_dense,303.0,53.0,122.89716312056736,454.4433252854485
random_dense,325.0,55.0,128.90248226950354,431.7422633418842
random_dense,403.0,68.0,152.7695035460993,640.131268547859
random_dense,370.0,63.0,143.7934397163121,644.2649569626788
random_dense,304.0,52.0,118.43971631205672,407.5016850259044
random_dense,394.0,85.0,149.87234042553192,604.9092349479412
random_dense,335.0,73.0,128.75177304964538,523.4738443740256
random_dense,331.0,61.0,129.06294326241135,548.9685558762133
random_dense,343.0,50.0,131.625,473.9506870567376
random_dense,302.0,67.0,116.01329787234044,398.0875891240378
random_dense,351.0,67.0,135.47517730496455,593.9550575926768
random_dense,358.0,66.0,138.65336879432624,615.8594567363318
random_dense,312.0,71.0,121.26241134751773,449.863764398169
random_dense,277.0,46.0,106.625,327.1794104609929
random_dense,355.0,61.0,135.6037234042553,487.5335676965443
random_dense,386.0,84.0,148.04166666666666,679.5931220449196
random_dense,444.0,91.0,165.57801418439718,749.8467506664659
random_dense,435.0,86.0,160.9423758865248,669.2493390360141
random_dense,365.0,50.0,140.23670212765958,565.2835111098548
random_dense,311.0,45.0,120.77482269503548,406.1478767416177
random_dense,321.0,67.0,123.65248226950357,420.9182385191893
random_dense,433.0,84.0,162.76329787234042,741.9874118190731
random_dense,293.0,45.0,112.5859929078014,328.162817985765
random_dense,364.0,78.0,138.56028368794327,491.6222524017914
random_dense,320.0,59.0,120.18351063829788,353.6817493775462
random_dense,272.0,50.0,105.375,334.7184175531915
random_dense,380.0,73.0,146.54787234042553,667.299126678738
random_dense,366.0,69.0,140.37677304964538,510.8429711470744
random_dense,277.0,60.0,105.04875886524825,272.1190764737691
random_dense,298.0,60.0,114.33067375886525,361.7018250779638
random_dense,343.0,72.0,133.04521276595744,580.356998358985
random_dense,307.0,63.0,117.22429078014184,380.450580170766
random_dense,336.0,52.0,131.125,573.3398714539007
random_dense,279.0,60.0,107.32003546099293,323.21052056611967
random_dense,316.0,55.0,123.020390070922,446.436640982597
random_dense,409.0,86.0,151.81826241134752,574.700127477239
random_dense,389.0,82.0,149.22340425531914,712.3720763543078
random_dense,449.0,91.0,167.95744680851064,789.5301041195103
random_dense,392.0,82.0,150.12765957446808,646.9269654443938
random_dense,402.0,68.0,154.28102836879432,702.359852843168
random_dense,290.0,53.0,111.93439716312056,411.3964054876522
random_dense,365.0,55.0,140.3741134751773,578.2004646396069
random_dense,343.0,64.0,131.73847517730496,492.11156930612026
random_dense,356.0,65.0,137.2863475177305,528.6139270849052
random_dense,334.0,68.0,130.4255319148936,560.8792062773512
random_dense,319.0,45.0,124.68971631205672,522.5739367989547
